11/03               c4adc6d - Runs: 150   |   Loot: 3=>2(4)-1      |   Purple: 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0   |   Orange: 1=>1(2)-0   | 0=>0(0)-0  | 1=>1(2)-0  | 1=>0(0)-1
11/03               LK_9    - Runs: 150   |   Loot: 4=>2(2)-2      |   Purple: 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0   |   Orange: 1=>0(0)-1   | 0=>0(0)-0  | 2=>1(1)-1  | 1=>1(1)-0
11/03               LK_9    - Runs: 100   |   Loot: 3=>3(7)-0      |   Purple: 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0 | 1=>1(3)-0   |   Orange: 1=>1(1)-0   | 0=>0(0)-0  | 0=>0(0)-0  | 1=>1(3)-0
11/03               LK_10   - Runs: 150   |   Loot: 2=>0(0)-2      |   Purple: 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0   |   Orange: 1=>0(0)-1   | 0=>0(0)-0  | 0=>0(0)-0  | 1=>0(0)-1
11/03               LK_10   - Runs: 601   |   Loot: 23=>13(22)-10  |   Purple: 4=>0(2)-4 | 0=>0(0)-0 | 0=>0(0)-0 | 1=>0(0)-1   |   Orange: 2=>1(1)-1   | 9=>7(11)-2 | 2=>2(2)-0  | 5=>3(6)-2
11/04               LK_11   - Runs: 723   |   Loot: 15=>6(14)-9    |   Purple: 2=>0(0)-2 | 0=>0(0)-0 | 0=>0(0)-0 | 2=>0(0)-2   |   Orange: 5=>2(5)-3   | 2=>1(4)-1  | 2=>2(4)-0  | 2=>1(1)-1
11/04               LK_13   - Runs: 300   |   Loot: 5=>3(13)-2     |   Purple: 1=>0(0)-1 | 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0   |   Orange: 0=>0(0)-0   | 1=>1(1)-0  | 3=>2(12)-1 | 0=>0(0)-0
11/04               LK_14   - Runs: 150   |   Loot: 4=>4(11)-0     |   Purple: 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0 | 0=>0(0)-0   |   Orange: 2=>2(5)-0   | 0=>0(0)-0  | 1=>1(4)-0  | 1=>1(2)-0
11/04 22:22-06:31   LK_15   - Runs: 1350  |   Loot: 37=>31(64)-6   |   Purple: 1=>0(1)-1 | 2=>2(4)-0 | 0=>0(0)-0 | 1=>1(1)-0   |   Orange: 10=>9(20)-1 | 5=>5(9)-0  | 5=>5(8)-0  | 13=>9(21)-4
11/05 09:41-13:19   LK_16   - Runs: 600   |   Loot: 7=>6(15)-1     |   Purple: 1=>1(1)-0 | 0=>0(0)-0 | 0=>0(0)-0 | 1=>1(3)-0   |   Orange: 0=>0(0)-0   | 1=>1(3)-0  | 1=>1(3)-0  | 3=>2(5)-1
11/05 14:07-17:45   LK_17   - Runs: 600   |   Loot: 9=>7/1-1   |   Purple: 0=>0/0-0 | 0=>0/0-0 | 0=>0/0-0 | 1=>0/1-0   |   Orange: 3=>3/0-0 | 0=>0/0-0 | 1=>1/0-0 | 4=>3/0-1
11/05 17:51 19:40   LK_17   - Runs: 300   |   Loot: 7=>7/0-0   |   Purple: 0=>0/0-0 | 0=>0/0-0 | 1=>1/0-0 | 0=>0/0-0   |   Orange: 2=>2/0-0 | 1=>1/0-0 | 0=>0/0-0 | 3=>3/0-0
11/05 04:24 14:08   LK_20   - Runs: 1600  |   P: 3=>3/0-0   O: 33=>28/5-0   HP: 4   |   Purple: 2=>2/0-0 | 0=>0/0-0 | 1=>1/0-0 | 0=>0/0-0   |   Orange: 11=>11/0-0 | 7=>6/1-0 | 4=>4/0-0 | 11=>7/4-0
